BaseSKU;Name;Series;Type;Inner_L;Inner_W;Inner_H;Outer_L;Outer_W;Outer_H;Niche_L;Niche_W;Niche_H;CenterDist;Vlaga;Voltage;PackCount;WorkingTemp;Material;FireResistance;CoverMaterial;D_t;d_t;B_t;H_t;Config_ID;Inner_is_dia;Outer_is_dia;Niche_is_dia;d1_t;d2_t;h_t;B1;B2;b1;b2;b3;b4;h1;h2;b_t;InletCount;MaxPipeDiam;MaxCableDiam;B3;B4;B5;B6;H_tech;h_tech;M_H;Note
КР2504;Коробка разветвительная КР2504;series25;Открытой установки;103;103;32;;;;;;;71;IP20;400В;50;-25...+60;Полипропилен и ПВД;650 С;;;;;35;8;0;0;0;;;31;105;105;91;97;;;;;;16;;18;115;110;128;110;;;;
КР2601;Коробка разветвительная КР2601;series26;Открытой установки;65;;;;;;;;;71;IP20;400В;260;-25...+60;Полипропилен и ПВД;650 С;;75;;83;42;9;1;0;0;68;65;40;;;;;;;;;;4;;20;;;;;;;;
КР2602;Коробка разветвительная КР2602;series26;Открытой установки;85;;40;;;;;;;71;IP20;400В;150;-25...+60;Полипропилен и ПВД;650 С;;95;;103;42;9;1;0;0;88;85;48;;;;;;;;;;4;;20;;;;;;;;
КР2603;Коробка разветвительная КР2603;series26;Открытой установки;85;85;40;;;;;;;71;IP20;400В;147;-25...+60;Полипропилен и ПВД;650 С;;;;;44;6;0;0;0;;;40;95;109;89;85;;;;;;;;;;;;;;;;
КР2604;Коробка разветвительная КР2604;series26;Открытой установки;100;100;50;;;;;;;71;IP20;400В;74;-25...+60;Полипропилен и ПВД;650 С;;;;;52;6;0;0;0;;;48;110;129;104;100;;;;;;;;;;;;;;;;
КР2605;Коробка разветвительная КР2605;series26;Открытой установки;70;70;40;;;;;;;71;IP20;400В;174;-25...+60;Полипропилен и ПВД;650 С;;;;;44;6;0;0;0;;;40;80;94;74;70;;;;;;;;;;;;;;;;
КР2606;Коробка разветвительная КР2606;series26;Открытой установки;150;110;70;;;;;;;71;IP20;400В;36;-25...+60;Полипропилен и ПВД;650 С;;;;;;10;0;0;0;;;;122;164;112;110;152;150;;;;10;;32;162;186;;;74;70;;
КР2606-01;Коробка разветвительная КР2606-01;series26;Открытой установки;150;110;70;;;;;;;71;IP20;400В;48;-25...+60;Полипропилен и ПВД;650 С;;;;;;10;0;0;0;;;;122;-;112;110;152;150;;;;-;;-;162;-;;;74;70;;
КР2607;Коробка разветвительная КР2607;series26;Открытой установки;190;140;70;;;;;;;71;IP20;400В;24;-25...+60;Полипропилен и ПВД;650 С;;;;;;10;0;0;0;;;;152;175;142;140;192;190;;;;10;;32;202;225;;;74;70;;
КР2607-01;Коробка разветвительная КР2607-01;series26;Открытой установки;190;140;70;;;;;;;71;IP20;400В;30;-25...+60;Полипропилен и ПВД;650 С;;;;;;10;0;0;0;;;;152;-;142;140;192;190;;;;-;;-;202;-;;;74;70;;
КРК2701;Коробка разветвительная открытой установки КРК2701;series27;Открытой установки;60;60;30;;;;;;;71;IP20;400В;88;-25...+60;Полипропилен;650 С;Полистирол;;;;30;11;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;60;60;56;56;;;;;;;;;;;;;;;;белый
КРК270102;Коробка разветвительная открытой установки КРК270102;series27;Открытой установки;60;60;30;;;;;;;71;IP20;400В;88;-25...+60;Полипропилен;650 С;Полистирол;;;;30;11;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;60;60;56;56;;;;;;;;;;;;;;;;слоновая кость
КРК27010201;Коробка разветвительная открытой установки КРК27010201;series27;Открытой установки;60;60;30;;;;;;;71;IP20;400В;88;-25...+60;Полипропилен;650 С;Полистирол;;;;30;11;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;60;60;56;56;;;;;;;;;;;;;;;;сосна
КРК2702;Коробка разветвительная открытой установки КРК2702;series27;Открытой установки;75;75;30;;;;;;;71;IP20;400В;60;-25...+60;Полипропилен;650 С;Полистирол;;;;30;11;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;75;75;71;71;;;;;;;;;;;;;;;;белый
КРК270202;Коробка разветвительная открытой установки КРК270202;series27;Открытой установки;75;75;30;;;;;;;71;IP20;400В;60;-25...+60;Полипропилен;650 С;Полистирол;;;;30;11;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;75;75;71;71;;;;;;;;;;;;;;;;слоновая кость
КРК27020201;Коробка разветвительная открытой установки КРК27020201;series27;Открытой установки;75;75;30;;;;;;;71;IP20;400В;60;-25...+60;Полипропилен;650 С;Полистирол;;;;30;11;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;75;75;71;71;;;;;;;;;;;;;;;;сосна
КУП1101;Коробка уравнивания потенциалов КУП1101;series11;Сплошные стены;90;90;49,5;;;;102;102;50;71;IP20;400В;15;-25...+60;Полипропилен;650 С;;;;;;12;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;
КУП1102;Коробка уравнивания потенциалов КУП1102;series11;Сплошные стены;112;92;58,5;;;;120;100;60;71;IP20;400В;6;-25...+60;Полипропилен;650 С;;;;;;12;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;
КУП1204;Коробка уравнивания потенциалов КУП1204;series12;Полые стены и перегородки;156;136;68;;;;160;140;70;71;IP20;400В;4;-25...+60;Полипропилен с антипиреном;850 С;;;;;;12;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;
КУП1201;Коробка уравнивания потенциалов КУП1201;series12;Полые стены и перегородки;103;103;43;;;;106;106;45;71;IP20;400В;12;-25...+60;Полипропилен с антипиреном;850 С;;;;;;12;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;
КУП2603;Коробка уравнивания потенциалов КУП2603;series26;Открытой установки;85;85;40;;;;;;;71;IP20;400В;21;-25...+60;Полипропилен и ПВД;650 С;;;;;;12;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;
КУП2604;Коробка уравнивания потенциалов КУП2604;series26;Открытой установки;100;100;50;;;;;;;71;IP20;400В;9;-25...+60;Полипропилен и ПВД;650 С;;;;;;12;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;
